Record_ID,Year,Quarter,State,Region,District,Rural_Urban,Population,Branches,Banking_Outlets,ATMs,BC_Outlets,Total_Accounts,Active_Accounts,Women_Accounts,Jan_Dhan_Accounts,Total_Deposits_Lakh,Savings_Deposits_Lakh,Current_Deposits_Lakh,Term_Deposits_Lakh,Total_Loans_Lakh,Agricultural_Loans_Lakh,MSME_Loans_Lakh,Personal_Loans_Lakh,Digital_Transactions,UPI_Transactions,Mobile_Banking_Users,Internet_Banking_Users,Agricultural_Beneficiaries,SHG_Accounts,KCC_Accounts,Active_Ratio,Women_Ratio,JanDhan_Ratio,Mobile_Banking_Ratio,Internet_Banking_Ratio,UPI_Share_of_Digital,Agri_Loan_Share,MSME_Loan_Share,Personal_Loan_Share,Savings_Deposit_Share,Term_Deposit_Share,Accounts_per_Branch,Population_per_Branch,Population_per_Outlet,Deposits_per_Account,Loans_per_Account,Year_Quarter
1,2021,Q1,Maharashtra,West,Amravati,Rural,1648079,19,41,12,22,1003556,635257,503292,256719,91002.19,52280.86,14636.77,24084.56,59198.98,21876.06,15142.66,22180.26,7748869,3799398,212455.0,91735.0,147600,38073.0,102601,0.6330060305553452,0.5015086352928985,0.2558093419799194,0.2117021870229464,0.09140994623120184,0.49031645779532473,0.3695344075185079,0.2557925829127461,0.3746730095687459,0.5745011191488908,0.26465912523643664,52818.73684210526,86741.0,40197.04878048781,0.09067973286991458,0.05898921435375804,2021-Q1
2,2021,Q2,Maharashtra,West,Amravati,Rural,1648079,15,29,12,12,1216752,1018466,690993,496329,197850.62,85898.59,19705.58,92246.45,111770.76,46392.25,23965.31,41413.2,11126014,6278191,295916.0,291024.0,111347,38992.0,83155,0.837036635238734,0.5678996212868358,0.4079130340447355,0.24320157271161255,0.23918103278235828,0.5642803433466829,0.41506606915798017,0.21441484338122066,0.3705190874607992,0.43415881132947676,0.4662429159938948,81116.8,109871.93333333333,56830.31034482759,0.16260554328244375,0.09185993530316777,2021-Q2
3,2021,Q3,Maharashtra,West,Amravati,Rural,1648079,24,51,23,18,931635,607839,514840,326903,100974.81,47433.64,11361.52,42179.65,79847.85,38128.27,22693.54,19026.04,9294504,6582697,208352.0,87479.0,113184,59203.0,71612,0.6524432851921622,0.552619856488861,0.3508917118828726,0.22364123288626983,0.09389836148276955,0.7082354260108985,0.4775115422644441,0.28420978147814874,0.23827867625740706,0.4697571602263971,0.4177244799965457,38818.125,68669.95833333333,32315.274509803923,0.10838451754174112,0.08570722439582026,2021-Q3
4,2021,Q4,Maharashtra,West,Amravati,Rural,1648079,25,47,14,19,781645,623905,346168,255441,142123.54,69023.9,22108.04,50991.6,88898.76,32483.25,17830.0,38585.51,10508234,7040738,163411.0,190877.0,143856,50950.0,74665,0.7981948326925906,0.4428711243595238,0.3267992502990488,0.209060379072341,0.24419909293861025,0.6700210520626015,0.36539598527583517,0.20056522723151596,0.434038787492649,0.48566127750547156,0.3587836328872754,31265.8,65923.16,35065.51063829787,0.18182619987334406,0.11373290944098663,2021-Q4
5,2022,Q1,Maharashtra,West,Amravati,Urban,1667855,36,81,26,28,1069299,790843,581274,428525,82094.87,39962.61,8390.98,33741.28,48399.49,20207.9,14133.01,14058.58,11418621,6726582,240442.0,176957.0,155622,78189.0,84527,0.7395901427009658,0.5436028650545824,0.4007532037344092,0.22485946400398765,0.16548879219002355,0.5890888225469608,0.4175229945604799,0.29200741578062084,0.2904695896588993,0.48678571511228413,0.4110035133742218,29702.75,46329.305555555555,20590.802469135804,0.07677447561439783,0.04526282171777959,2022-Q1
6,2022,Q2,Maharashtra,West,Amravati,Rural,1667855,22,39,15,16,1071322,815008,418132,298380,194531.02,86212.88,25083.86,83234.29,170266.12,67835.91,43264.45,59165.77,12233579,7221909,340690.0,136536.0,121650,60718.0,78857,0.7607498025803633,0.39029535471128196,0.2785157030285946,0.3180089646250147,0.12744627665631808,0.5903349297862874,0.3984110873026296,0.2540989951494754,0.3474899762794853,0.44318320029371155,0.42787155488106726,48696.454545454544,75811.59090909091,42765.51282051282,0.18158034652513436,0.15893085365557694,2022-Q2
7,2022,Q3,Maharashtra,West,Amravati,Rural,1667855,21,35,12,25,1140584,712459,550238,305179,168897.67,89608.66,20043.68,59245.32,145103.51,54777.18,30145.15,60181.18,12218853,6810574,177760.0,217256.0,124420,75120.0,81547,0.624644041999537,0.4824177789623561,0.26756380941693025,0.15584998562140095,0.19047786046446383,0.5573824318862007,0.37750416926509905,0.20774928187471137,0.4147465488601895,0.5305500069953599,0.3507764198286453,54313.52380952381,79421.66666666667,47653.0,0.1480799923547937,0.12721860906342716,2022-Q3
8,2022,Q4,Maharashtra,West,Amravati,Rural,1667855,26,45,15,39,1299006,1035656,581702,381042,232845.91,130843.99,36786.76,65215.16,177398.41,65074.7,32397.92,79925.79,7795628,3979211,469798.0,249889.0,124772,32803.0,63571,0.7972680649665975,0.44780547587924924,0.2933335180899857,0.3616596074229064,0.19236939629224192,0.5104413653396493,0.3668279777704884,0.18262801791740974,0.45054400431210173,0.5619338127949081,0.28007861508067716,49961.769230769234,64148.269230769234,37063.444444444445,0.17924929523035305,0.13656473488190202,2022-Q4
9,2023,Q1,Maharashtra,West,Amravati,Rural,1687632,25,43,23,22,935266,775351,476916,372550,150303.33,65380.14,17551.16,67372.03,95820.9,38213.18,28384.21,29223.51,10594143,7611292,249822.0,231371.0,109963,50359.0,69522,0.8290165578562676,0.5099255185155881,0.3983358744998749,0.26711331321784393,0.24738523585803396,0.7184433889555767,0.3987979657882571,0.2962214923884038,0.30498054182333917,0.4349879673324603,0.4482404348592942,37410.64,67505.28,39247.25581395349,0.16070650488737961,0.10245309890448279,2023-Q1
10,2023,Q2,Maharashtra,West,Amravati,Rural,1687632,26,55,18,18,1130192,756766,642052,475047,211149.32,89204.9,36493.33,85451.09,145967.69,79308.76,43046.86,23612.06,8503079,6252662,334325.0,135377.0,91157,37832.0,59800,0.6695906536234552,0.568091085408497,0.4203241573113241,0.2958125698996277,0.11978230247603947,0.735340927680432,0.5433309248094561,0.29490677012152483,0.16176223656070737,0.42247306313844624,0.4046950755039135,43468.92307692308,64908.92307692308,30684.21818181818,0.18682606141257416,0.1291530023217294,2023-Q2
