Record_ID,Year,Quarter,State,Region,District,Rural_Urban,Population,Branches,Banking_Outlets,ATMs,BC_Outlets,Total_Accounts,Active_Accounts,Women_Accounts,Jan_Dhan_Accounts,Total_Deposits_Lakh,Savings_Deposits_Lakh,Current_Deposits_Lakh,Term_Deposits_Lakh,Total_Loans_Lakh,Agricultural_Loans_Lakh,MSME_Loans_Lakh,Personal_Loans_Lakh,Digital_Transactions,UPI_Transactions,Mobile_Banking_Users,Internet_Banking_Users,Agricultural_Beneficiaries,SHG_Accounts,KCC_Accounts
1,2021,Q1,Maharashtra,West,Amravati,Rural,1648079,19,41,12,22,1003556,635257,503292,256719,91002.19,52280.86,14636.77,24084.56,59198.98,21876.06,15142.66,22180.26,7748869,3799398,212455.0,91735.0,147600,38073.0,102601
2,2021,Q2,Maharashtra,West,Amravati,Rural,1648079,15,29,12,12,1216752,1018466,690993,496329,197850.62,85898.59,19705.58,92246.45,111770.76,46392.25,23965.31,41413.2,11126014,6278191,295916.0,291024.0,111347,38992.0,83155
3,2021,Q3,Maharashtra,West,Amravati,Rural,1648079,24,51,23,18,931635,607839,514840,326903,100974.81,47433.64,11361.52,42179.65,79847.85,38128.27,22693.54,19026.04,9294504,6582697,208352.0,87479.0,113184,59203.0,71612
4,2021,Q4,Maharashtra,West,Amravati,Rural,1648079,25,47,14,19,781645,623905,346168,255441,142123.54,69023.9,22108.04,50991.6,88898.76,32483.25,17830.0,38585.51,10508234,7040738,163411.0,190877.0,143856,50950.0,74665
5,2022,Q1,Maharashtra,West,Amravati,Urban,1667855,36,81,26,28,1069299,790843,581274,428525,82094.87,39962.61,8390.98,33741.28,48399.49,20207.9,14133.01,14058.58,11418621,6726582,240442.0,176957.0,155622,78189.0,84527
6,2022,Q2,Maharashtra,West,Amravati,Rural,1667855,22,39,15,16,1071322,815008,418132,298380,194531.02,86212.88,25083.86,83234.29,170266.12,67835.91,43264.45,59165.77,12233579,7221909,340690.0,136536.0,121650,60718.0,78857
7,2022,Q3,Maharashtra,West,Amravati,Rural,1667855,21,35,12,25,1140584,712459,550238,305179,168897.67,89608.66,20043.68,59245.32,145103.51,54777.18,30145.15,60181.18,12218853,6810574,177760.0,217256.0,124420,75120.0,81547
8,2022,Q4,Maharashtra,West,Amravati,Rural,1667855,26,45,15,39,1299006,1035656,581702,381042,232845.91,130843.99,36786.76,65215.16,177398.41,65074.7,32397.92,79925.79,7795628,3979211,469798.0,249889.0,124772,32803.0,63571
9,2023,Q1,Maharashtra,West,Amravati,Rural,1687632,25,43,23,22,935266,775351,476916,372550,150303.33,65380.14,17551.16,67372.03,95820.9,38213.18,28384.21,29223.51,10594143,7611292,249822.0,231371.0,109963,50359.0,69522
10,2023,Q2,Maharashtra,West,Amravati,Rural,1687632,26,55,18,18,1130192,756766,642052,475047,211149.32,89204.9,36493.33,85451.09,145967.69,79308.76,43046.86,23612.06,8503079,6252662,334325.0,135377.0,91157,37832.0,59800
